title,year,country,director,genre,imdb_id
Революция Иисуса,2023,США,"Джон Эрвен, Брент Маккоркл",драма,tt10098448
Революция в минуту,1970,США,Стэнли Крамер,драма,tt0066273
Робби (фильм),1968,США,Ральф Блюмке,история взросления,tt0063513
Робер и Робер,1978,Франция,Клод Лелуш,комедия,tt0078171
Рок-н-рольщик,2008,Великобритания,Гай Ричи,"черная комедия, криминальный фильм, триллер, боевик",tt1032755
Рок-н-ролльный цирк «Роллинг Стоунз»,1996,Великобритания,Michael Lindsay-Hogg,музыкальный фильм,tt0122689
Русский рейд,2020,Россия,Денис Крючков,"фантастика, боевик",tt12425868
Русский регтайм,1993,Россия,Сергей Урсуляк,драма,tt0108012
Садо (фильм),2015,Республика Корея,Ли Чжун Ик,"драма,, исторический фильм",tt4010918
"Сахар (фильм, 2014)",2015,Австралия,Дамон Гамо,документальный фильм,tt3892434
"Сахар (фильм, 2011)",2011,"Израиль, Россия",Вадим Данцигер,"короткометражный, комедия, драма",tt1954857
"Свой среди чужих, чужой среди своих",1974,СССР,Никита Михалков,"истерн, драма, приключения",tt0072231
Свой парень,1974,СССР,Павел Любимов,"мелодрама, комедия",N/A
Секретный фарватер (фильм),1986,СССР,Вадим Костроменко,"приключенческий, военный",tt2317100
Секретный агент Ройс,1994,США,Род Холкомб,"боевик, триллер, комедия",tt0111026
Сентиментальный роман,1977,СССР,Игорь Масленников,мелодрама,tt0075190
Сентиментальный меченосец 3,1982,Гонконг,Чу Юань,"приключенческий фильм, детектив",tt0083735
Сила страсти,1989,"США, Швейцария",Джек Смайт,мелодрама,tt0097341
Сила стихии,2020,США,Майкл Полиш,"боевик, криминал",tt10308928
Скандальное происшествие в Брикмилле,1980,СССР,Юрий Соломин,"философская, драма,, притча",tt0230791
Следы на воде,2016,Белоруссия,Александр Анисимов,исторический фильм,N/A
Следы апостолов,2013,Беларусь,Сергей Талыбов,приключения,tt5277222
Смертельные сказки,1986,США,Джеффри Делман,"комедия, киноальманах, ужасы",tt0092850
Смертельные попутчики,1961,США,Сэм Пекинпа,вестерн,tt0054795
"Снежная страна (фильм, 1957)",1957,Япония,Сиро Тоёда,драма,tt0051217
Снежная сказка (фильм),1959,СССР,"Алексей Сахаров, Эльдар Шенгелая",сказка,tt0175185
Солдаты (фильм),1956,СССР,Александр Иванов,"драма, военный фильм",tt0049776
Солдатское сердце (фильм),1958,СССР,Сергей Колосов,киноповесть,tt0253728
Союз спасения (фильм),2019,Россия,Андрей Кравчук,"историческая драма, военный фильм, приключения",tt8769146
Союзники (фильм),2016,США,Роберт Земекис,романтический триллер,tt3640424
Ставка на мёртвого жокея,1957,США,Ричард Торп,Фильм нуар,tt0051088
Стависки (фильм),1974,"Франция, Италия",Ален Рене,драма,tt0072204
Сто тысяч долларов на солнце,1964,"Франция, Италия",Анри Вернёй,"приключенческий фильм, боевик, комедия",tt0056917
Сто солдат и две девушки,1989,СССР,Сергей Микаэлян,"военный фильм, драма",tt3042438
"Страшная месть (фильм, 1912)",1913,Российская империя,Владислав Старевич,драма,N/A
Страшная воля богов,2014,Япония,Такаси Миикэ,Фильм ужасов,tt3354222
Сумеречный ужас,1995,США,Уильям Грэм,триллер,tt0114654
Сумеречный самурай,2002,Япония,Ёдзи Ямада,драма,tt0351817
Сын Божий (фильм),2014,США,Кристофер Спенсер,"Пеплум, фильм-биография, драма",tt3210686
Сын акулы,1993,"Франция, Бельгия, Люксембург",Аньес Мерле,"криминальный фильм, драма",tt0106904
Тайна перевала Дятлова,2013,"Великобритания, Россия",Ренни Харлин,"фильм ужасов, триллер, псевдодокументальный фильм",tt1905040
Тайна партизанской землянки,1974,СССР,"Юрий Тупицкий, Валентин Фещенко","детское кино, приключения",tt3127078
Танец с незнакомцем,1985,Великобритания,Майк Ньюэлл,"криминальный фильм, биографический фильм, драма",tt0088987
Танец с ветром,2004,Республика Корея,Пак Чон Ву,мелодрама,tt0400209
"Тельма (фильм, 2017)",2017,"Норвегия, Франция, Швеция, Дания",Йоаким Триер,Артхаус,tt6304046
Тель-Авив в огне,2018,"Израиль, Франция, Люксембург",Самех Зоаби,"комедия, мелодрама",tt5791098
Тилл (фильм),2022,"США, Великобритания",Чинонье Чукву,"биографический фильм, драма",tt4960748
"Тик-так, бум!",2021,США,Лин-Мануэль Миранда,музыкальный фильм,tt8721424
Тони Эрдманн,2016,"Германия, Австрия, Румыния, Франция",Марен Аде,"драма, комедия",tt4048272
Тони (фильм),1935,Франция,Жан Ренуар,"драма, криминальный фильм",tt0025898
Третья дочь,1970,СССР,Анвар Тураев,"драма, экранизация",N/A
Третья волна зомби,2017,Ирландия,Дэвид Фрейн,"фильм ужасов, фильм о зомби, постапокалиптический фильм",tt3463106
Триумф духа,1989,США,Роберт М. Янг,драма,tt0098513
Триумф воли,1935,Нацистская Германия,Лени Рифеншталь,документальный фильм,tt0025913
Тучи над Борском,1960,СССР,Василий Ордынский,драма,tt0054411
Туфли с золотыми пряжками,1976,СССР,Георгий Юнгвальд-Хилькевич,фильм-сказка,tt0387651
Убийство в «Восточном экспрессе» (телефильм),Нет данных,США,Карл Шенкель,детектив,tt0279250
Убийство без преступления,1950,Великобритания,Джей Ли Томпсон,Криминальная драма,tt0042763
"Удачи вам, господа!",1992,Россия,Владимир Бортко,"комедия, детективный фильм",tt0105674
"Удачи, веселитесь, не умирайте",2025,"США, Германия, ЮАР",Гор Вербински,"научно-фантастический фильм, приключения, боевик",tt1341338
